id,bdate,city,country,sex,is_closed,age,priority,marker
166580180,1978-09-22,147,1,1,1,44,8.0,1.0
166623543,1994-10-03,20950,1,2,0,28,5.0,1.0
166658693,1999-04-29,20950,1,1,0,23,5.0,1.0
166686104,2007-02-01,20950,1,1,1,15,8.0,1.0
166725091,1988-09-04,360,1,1,1,34,8.0,1.0
166730927,1978-12-27,20950,1,1,1,44,8.0,1.0
166760333,1983-10-06,147,1,1,0,39,6.0,1.0
166789529,1999-08-17,151,1,1,1,23,8.0,1.0
166835561,1990-03-31,49,1,1,0,32,6.0,1.0
166839285,1984-07-09,20950,1,2,1,38,8.0,1.0
166874623,1991-09-04,4056006,103,1,0,31,6.0,1.0
166941898,1989-11-11,20950,1,1,0,33,6.0,1.0
166944776,2004-04-11,72,1,1,0,18,5.0,1.0
166962919,2001-07-25,20950,1,2,0,21,5.0,1.0
166989908,1985-09-10,20950,1,1,0,37,6.0,1.0
167003655,1975-03-26,750,36,1,0,47,6.0,1.0
167033350,1976-08-25,20950,1,2,1,46,8.0,1.0
167039619,1998-12-19,99,1,1,1,24,8.0,1.0
167101553,1972-01-04,20950,1,1,0,50,6.0,1.0
167125518,1979-04-05,3521,2,1,0,43,6.0,1.0
167157755,1992-05-17,20950,1,1,0,30,5.0,1.0
167215679,1975-05-01,20950,1,1,1,47,8.0,1.0
167239960,1977-10-08,72,1,1,1,45,8.0,1.0
167320780,1965-06-02,20950,1,2,0,57,6.0,1.0
167335500,1989-07-31,20950,1,1,0,33,6.0,1.0
167354567,1977-11-26,123,1,1,0,45,6.0,1.0
167367837,1977-12-04,20950,1,2,1,45,8.0,1.0
167388460,1979-08-16,4017,1,1,1,43,8.0,1.0
167434641,1957-11-08,135,1,2,0,65,7.0,1.0
167435133,1990-01-18,635,65,2,1,32,8.0,1.0
167486147,2008-05-26,20950,1,1,1,14,8.0,1.0
167503747,1983-05-10,104,1,2,1,39,8.0,1.0
167522663,1979-03-11,20950,1,1,0,43,6.0,1.0
167532349,1990-09-26,20950,1,2,0,32,6.0,1.0
167591056,1979-04-29,147,1,1,1,43,8.0,1.0
